Dialog_Act,Utterance
id,"So coming back to thinking there are errors and thinking that all people make. And when these errors become repetitive and you can kind of see them applied in more than one areas of his life. We refer to that as a cognitive distortion. Okay? It's not bad or good. It's just how people think. It's just patterns that people fall into. And there are several different cognitive distortions, there's several patterns that we kind of see. come up often in this work, right as a counselor, wondering, in the situation where you're thinking, the worst possible outcome is unbearable, or likely or both. If you may be really focusing and emphasizing on that, to the exclusion of other evidence that suggests you've made a good decision. I see you're really focused on the negative outcome, the worst possible and maybe even unlikely outcome. And maybe not weighing all the evidence with the same weight, like you're putting more weight on the negative pay, that kind of makes sense."
id,"Yeah. I mean, I think that that's probably true. Because before I felt fine, and now I just feel like everything's falling apart and not that much has changed. And so it kind of makes me think that that's probably what's going on, but I don't know how to change that."
id,This is frustrating for you. Yeah. The self doubt is worrying.
id,"You okay now kind of taking a look at some of your thinking and situation from that point of view, okay. Some things kind of stand out for me and hearing you talk about what's been happening and your feelings I can appreciate. It's really painful. And I would say to the reader that you can step back and try to look at the thoughts. I think that you'll see it's it's helpful although I know It's a little difficult or unusual to separate feelings from thoughts sometimes. But I'd like to try to kind of distinguish between the two. Okay. You said that you've been at your job for about five years. You really like your job. So tell me about your job, like kind of how you felt about it, but frame it in a time before this ever happened."
id,"I like my job because I felt like I was helping people. So it was meaningful. And, you know, when I went there, Time went by fast. So it was kind of like, I was enjoying myself, you know, not super fast. I wasn't having the best time of my life, but it was something where I would go and you know, I felt like I was doing something important and the day didn't drag on and, you know, I got along with my co workers and that kind of thing. So it felt meaningful to me. meaningful."
crq,"So you remember accomplishing things at that job that you felt benefits society, the people you help."
cd,"Yeah, I feel like, you know, doing my job, I got to know people, you know, help people out with things that they needed. You know, when things were bad I could, you know, get kids out of situations that were really dangerous for them and, you know, no one else was going to do that for them. So I felt like I was the kind of person that was making keeping people safe. I guess."
yq,You kept people safe. And you had a lot of satisfaction from the work you did. And now doesn't feel that way?
on," Now, not at all. "
crq,"When you described it, it almost sounds like you talked about how you're afraid of making a mistake. You're thinking about yourself in a way where you're almost risk."
id,"Yeah, I was just about to say it feels dangerous. To be there like to do my job, it feels dangerous."
id,"Your your work right now even though you have this one, situations extremely stressful and hard on you. You have other families that you interact with now to you tell me about those interactions."
id,"I mean, I guess it's like, quantitatively the same as before. I do the same things with families. But now I kind of feel like I can't trust my own judgment like everything. Before everything just kind of felt a little more black and white, and now it just feels like everything is so much a shade of gray that I just can't tell. You know what's right and what's wrong anymore. And every time I feel like I have a good instinct I doubt it I question it I have all these ideas of, well, you know, if I remove the kids from this family, what if they're not really doing the things? I think they're doing? Like what if the parents are actually good parents? What if the kids get put into a home that's bad for them?"
id,So this is maybe what's different. This what you're saying from before till now? Is decisions seemed clear cut.
id,"Yeah, sometimes it was tougher than others, but it just seemed more like I could make a decision and kind of wipe my hands of it and, you know, move on to the next thing. And now I just feel like there's all these doubts in my head and all these questions about if I'm doing the right thing."
irq,"All right. So you're looking inward, you're looking at yourself a lot of self doubt. Now you're looking at decisions as much more difficult. It's much more difficult to come to the right decision. And second guessing sounds like move to second guessing a bit. When you do make a decision, like playing over over your mind. What could go wrong here? Is that the thought you're having?"
id,"Yeah, yeah, definitely. I feel like I'm second guessing everything."
irq,"So you mentioned before that when you wake up in the morning, you you don't want to go to work, what's going through your mind?"
id,"I'm gonna have to, you know, hear what my coworkers have to say about what's going on. I might make another mistake. Who knows if I'm going to find out that something terrible happened to these kids when I go back to work? I guess a lot of stuff like that."
id,"So looking into one I'm going to make a mistake. That kind of connects to what we were talking about before it says the uncertainty, you're not sure of your own skills and you're afraid of an error that's going to be costly. So when you think that thought, I'm gonna make a mistake, so this is when you're, when you're in bed before you start your day, and you have that thought, what happens right then?"
id,"I feel more anxious. You know, I think about like, what could happen to somebody else if I make a mistake, like kids going to the wrong home or, you know, not being with their parents when their parents you know, we're not doing anything wrong. And I just feel really like overwhelmed and it gets hard to breathe and I just want to go back to sleep and not have to face anything."
id,So there's emotional consequences. And then the behaviors. You don't want to get out of bed.
id,And then a lot more lately because I have trouble getting out of it.
irq,"When you're staying in bed, are you under more thoughts coming up?"
id.crq,"So this is really weighing on you. And he was edified these thoughts that seem to be connected with feelings that are unpleasant, and behaviors are unpleasant, but also maybe not useful."
cd,"Yeah, they're keeping me from getting the work and stuff like that."
irq,"So we have a reference point for later on as we continue counseling. I'd like to scale this problem like maybe on a scale of one to 10, where 10 represents feelings that are nearly unbearable, right? And one not really a problem. How do you feel on that scale? Where do you rate yourself right now?"
id,"Right now in this moment, probably like a five. Around the middle. Yeah, like I'm really stressed out but I not like when I'm in bed, like I can't get out of bed, that kind of thing."
irq,How would you rate yourself when you're in bed before you go to work? 
id,Probably like an eight.
irq,"So an eight sometimes nine, right now five, so still not feeling great. Have you had to pick an emotion of standing out above the rest in anxiety, sadness, sense of dread. What would be the worst right now?"
id,Right now probably anxiety.
id,"So five, on a scale 10 inside is really standing out more"
id,Has it made you rethink your entire job in the profession?
id,"Yeah, I mean, it's making me think like, you know, if I just had some desk job, like if I just crunched numbers or something, I would never have to have this responsibility. Like, why would they trust me with a job like this? Like, I'm just a human being who, you know, doesn't know any better than any other person and I just don't know if I can do this. It's just so much responsible. And I guess, I guess before I felt like I could handle it. And now I just feel like it's so much responsibility for one person. And I don't think that I can handle it anymore. But I don't want to change jobs because I've been here for so long. And I liked it before. I don't know."
crq,you're fearful of this happening again.
cd,"Yes,"
irq,And how you may handle it? what may happen?
id,"I feel like it's just around the corner. And this isn't even resolved. I'm still afraid of the consequences of this, you know, like, what if, you know, you know, these kids are out of their parents home. And I just feel like what if something bad happens to them where they are now and then that's going to fall on me and, you know, people, like other my co workers know that I'm the one that did this. So like, if something happens to the kids, like, I'm going to be the one that they're going to blame for it."
id,"So just to make sure, I understand your Report. So they were engaging in these behaviors. And your report, just what precipitated the them being broken up."
ack,"Yeah. Because, you know, before that, I guess, you know, probably nobody else would have known about it. So I made the report about what was going on. And I think Yeah, as a direct result."
id,"Alright, let's, let's take a look at the habits, right. So, in CBT, we like to evaluate evidence and try to look at the facts as we understand them. And really, we want to scrutinize and carefully review the facts and the evidence and hold a light to it and try to figure out what's going on. Right. What would have happened with this family if you hadn't work, no one intervened?"
id,"I don't know. I mean, it wasn't going great for the kids. It wasn't really great environment. But I just feel like if I had left it alone, I don't know that the kids would be with their parents."
irq,"So they all be together. And you feel like, right now. He's saying with them being a part. That sounds good. Is that fair together?"
id,"Yeah, I mean, I guess. I guess I feel like it's probably wasn't great for them to be there. I mean, that's why I made the report. That's my job, but it just feels like, you know, I just feels like I'm playing God. You know what I mean? Like, I'm just coming in here and spend like 5-10 minutes with a family and then totally turn their whole world upside down."
crq,"you have a tremendous amount of power And if you misuse that power, you could devastate families. That's maybe what you You think happened to you? "
op,Yeah.
id," So going back to what would have happened to them, let me just step back there for a moment. They would still be together without your intervention. And that could be a positive. What about consequences that maybe were negative?"
id,"Well, I mean, like I said, I thought they were using drugs in the home. So that's like a really dangerous situation for kids to be in, because you don't know what kind of people are coming in and out of the home, if their parents are going to be, you know, coherent enough to help them if there's an emergency or if the parents are even making them food and taking care of their needs and stuff like that. So I guess in that sense, that's really concerning. And that's a big part of the reason why I made the report."
id,"You made the report because it's your responsibility, but also you had concerns about their welfare. If you could go back and do it again. would you change anything?"
id,"I don't know. I guess that's just the hardest part for me is like, I feel like I can't make the right decision. I just feel like I don't know if I'm equipped to be the person to make that kind of decision."
crq,"So you don't know if you made a good decision or not. And further, you question your ability going forward to make decisions. "
ack,"Yeah, definitely. That's the uncertainty, anxiety."
irq,"So now as you kind of take a emotional inventory of your stress and worry and anxiety and you scale it, how would you put yourself now?"
id,I think is probably closer to three now feeling more hopeful and kind of not feeling I guess maybe feeling like it's a little bit less of a big deal than I felt like when I came in
crq,"so some of the some of the intimidation of the concerns have been relaxed a bit as backed off,"
cd,"it comes and goes,"
id,"it's still there. Three is still suffering, but not as much as before. And not nearly as much as the peak. "
ack,"Yeah, yeah."
yq,"Do you think going forward, you can apply this self talk in the morning, when that automatic clock comes up, like we make that kind of plan."
op,"Yeah, I think that'll be good because then also in the morning, I'll remember it's the morning and having these thoughts I need to do this."
id,"There are a lot of places we're going to go. As we talk about CBT and how it relates to what you're going through. I don't want to put too much on you at one time. So I'm kind of deliberately not going to a long explanation, the theory and not assigned A lot of homework, the homework is an important part of it. Okay? And one that I feel is in the best interest of clients to really take seriously and make a best effort to do. Okay. So, I'd like that to be one of the, you know, if you're okay with it, that'd be one homework steps, and the other one. So just just be two things for this week. So that self talk in the morning, and the other one was, is really just starting to cultivate an awareness in the day of when you're having these automatic thoughts. So these automatic thoughts proceed. feelings, and behaviors that you don't like, like feeling worried. So they're a little hard to pick up at first, because you're already having the feeling before you even think, to think about the thought, if that makes sense. And there's a few steps But you're already having the feeling of worry. And now I'm asking you to stop in that moment and try to recover the thought that led to that. Yeah. So that's not an easy request, satisfied to starting out with just try to bring up an awareness of that. If you can, I think super helpful, the best way is to write it down, if it's safe to do so. And if you can't, okay. So perhaps sometime today, you find yourself extra worried. And then you think back to what was going through your mind. And you find it was worrying about the welfare of the family, like a thought like, oh, they're not doing so well. Just don't judge the thought. Just write down. I was thinking to the family that might not be doing so well."
ack,Okay. What should I do with it? Should I like write it on a sticky note and get rid of it? Should I keep it in a journal or?
cd,"Good question. I would say keep in touch. journal, okay, and bring it in. To the extent you're comfortable talking about, we can go over. Okay. And we'll try to together develop self talk to address that. Okay. So we're going to build, we're going to build an inventory of adaptive responses. Okay. Does that make sense? Do you have any questions about or concerns about today in common we talked about?"
on,"No, I mean, I think it was really helpful. I just had to remember to, you know, kind of combat things in the morning and then as the day goes by, if I notice any other thoughts, just write it down and everything. I can do that."
id,"I think that would be a great start. And we'll set up a time for down here for another point for next week. We'll get that all situated. But I want to Close just by letting you know, kind of my impressions from on this first session. Okay. I know you have worries, and I am working on understanding them with the family and the decision you made and I can certainly appreciate it's it's a struggle for you. At the same time I see somebody very conscientious. No, you're, you're very concerned about the work you do. You're concerned about the people you're act with. compassionate, empathetic. I see a lot of strength in terms of your ability to understand these concepts I'm talking about and apply them in your life. So I want you to take away from this I hope you take away from this, that you should be helpful. I feel like you have a lot of positive characteristics and strengths that you Bring to overcome the struggle, and I think you'll be stronger as a result of working to overcome. Does that resonate with you? How do you think of yourself?"
id,"Yeah, I mean, I think, you know, I've worked a lot to help other people. So I think I probably do have the ability to help myself as well. And I also believe that, you know, if I do the work, then in the future, when stuff makes me stressed out, I might be a little better at handling it."
id,"Yeah, so I hope that you'll be able to overcome what's going on now. But also build a skill set that you can use to overcome new challenges, because you'll face new ones. And I want you to be the most prepared you can be I feel like even though you have these worries and anxieties, I want I'd like you to remember you have a lot of strengths. I feel like you can do pretty well with this. So we'll stop there. If You're good and we'll set you up for appointments next week."
gt,Okay. Thank you.
gt,"Thanks, sir."
irq,How many times have you gone to work and made a mistake?
id,"I don't know. I mean, I guess none technically none that have been something I've gotten trouble for anything like that. Sometimes it's hard to tell because you know, you don't always hear from people afterwards. You can't really tell was it a mistake or not. But I guess none that it had like any major consequences."
id,"So none, but there might be a few small ones that you've just never found out about. So Less than a 10th of a percent days you come in probably very small, really, really small. The probability of a statement that you're making being true, is pretty low. The seventh thought rather, I'm going to make a mistake. Probably not supported by the evidence."
ack," Yeah, I guess that's true. "
id,"So, the automatic thought is not accurate and not useful. I just got a couple strikes against it. But it is the thought you're having so let's deal with it. I'm going to make a mistake. So what could you tell yourself as the first part of that adaptive response, which acknowledges that fear that's realistic, that acknowledges that fear of making a mistake"
id,I guess like it Everybody makes mistakes.
id,"Everybody makes mistakes. I could make a mistake today, but it's unlikely that that also be accurate. So everybody makes mistakes. I could make a mistake, but it's probably not gonna happen. Rather than I'm going to make a mistake. So you're going to have that automatic thought either way, likely for a while until you start to apply these adaptive responses. So this is what we're working on is your response. So everybody makes mistakes, I could make a mistake probably not going to happen. And will could be a next part, which is realistic, but also positive. That can help get you past the reaction of being late morning."
id,I'm a good caseworker and I need to do my job so I can help other people and it's going to be okay.
id,"Okay, so there's a few few elements in there. It's going to be okay, I need to do my The job I help people all those all those are true So applying as you know even as you say this year with me as you say, it's gonna be okay I need to my shop. What are we actually having right now?"
id,I mean it feels a little better but it's hard you know so I felt still feel like it's dangerous I might make a mistake but I guess it helps a little bit
id,Can you see yourself being able to in the moment and I realize this is difficult but in the moment of having that on that thought and that word come in. Can you see yourself applying this self talk?
op,"Yeah, I think I probably will because now it will be hard to have those thoughts and not think of you . Okay, I need to calm myself down a little bit."
yq,And you've already used self talk on your own before even knew about these?
op,Yeah. It did help in the past.
id,"A lot of the corsage to some of the effectiveness of this is based on your ability in that moment to take a step back and follow the training. Right, just like many professionals, professionals depend on their training to help them make the correct intervention correct decision. So think of this kind of like something you've learned in the training. This is a self talk. It's pre packaged, it's ready to go. You can even have it written down. Okay? Doesn't have to be short. It can be like a paragraph, or more if you want as a matter of following the protocol. Once you have the automatic thought, it's easy to descend into worry and fear. You're just looking too quick to grab a moment in there. Apply this treatment strategy. Does that make sense? Sometimes it's likely Well, most of the time, I think you would you would be able to do this. Sometimes you probably won't as important in those moments to not get discouraged. Right. So you can have a self talk for that to write something like Dr. Crowley said it was likely that once a while I wouldn't build do this."
id,it's not gonna work every time.
crq,Make sense?
cd,"Yeah, that makes a lot of sense."
id,"So it's the chaos of life, right in the chaos of emotions that sometimes interfere. the more times you have success, that that seems to be tied with a better chance of improving and reduction of symptoms, but allow yourself failures. Well, it's what I would expect from anybody trying to untangle all these feelings and thoughts. There's not gonna be a perfect connection between that automatic thought and applied self talk. Okay, so be easy on yourself as soon as you can,"
id,"that makes sense because like, if you could just flip a switch you I would only have to have one therapy session."
id,"It'd be good shape, right? so it's a little more difficult than that. But overall, this these strategies are fairly straightforward. And you can definitely learn them and you can definitely do them. I want you to have that confidence. It's, it's normal to have mistakes occur. And to not always do it as you need to as you want to, but in the end, overall, you should be able to be able to apply them and actually It'll get easier in the future to develop your self talk for different thoughts. Okay?"
id,"So let's talk about this. So those type of thoughts, like I can't make a mistake or something like that. We call this automatic thoughts. And we'll have plenty of time talk about the different structures in CBT. I do want to explain it to you but over the course of several sessions, let's just take pieces of it for now. Okay. So far we believe is that your beliefs combined with a situation and create these thoughts. So you have this belief, so you're laying in bed for work, and you have this belief that you're maybe not competent. And then the situation that combines with that is, it's time to go to work. So the stress of No, it being time to actually get up and get ready to work. And then you have an automatic thought in that moment. Can right now it's one tied to dread and fear. Let's try to identify an exact one for this example. So let's use that scenario. You believe that you might not be confident you're laying in bed, and the alarm clock goes off. So you're kind of pressured to make a decision about do I get ready for work or not? What's the thought right then?"
id,"if I go to work I'm going to make a mistake,"
id,"So if I go, I'm going to make a mistake. And then we talked about your reactions being late. Worry, anxiety. So what we'd like to do when we identify on that felt like that is what's called self talk. And it first this may seem a little odd, right? So you have this thought that comes through it can be an image to the thought image. But it's cognitive in nature. And I can't make a mistake, like, I'm going to make a mistake. I'm going to make a mistake. That's your thought. And the self talk. This is like a rehearsed statement that you literally say to yourself, which again, I get to that seems so odd The first time I do it. So really, you're talking to yourself But over time, we believe if you can keep applying the self talk strategy that you will eventually change the outcome, the reaction and change the underlying belief. Okay? It first though it's going to seem quite foreign to you. Tell me how you how you're processing this now. "
crq,"So I mean, what am I supposed to say to myself?"
id,"It's a good question. We'll work on that. And that's what we can do now. Let's take a look at some self talk. So some adaptive responses so they can build. So I'm going to make a mistake. That's the automatic thought that's directly leading. Seems to be to feeling supported dread, and physically not getting work on time. Has there ever been times when you've had that thought? And you went to work on time still? "
op,Yeah.
irq,What was different about those times?
id,"I guess I told myself, I have to get to work on time because if I don't, it's going to be even worse. If I make a mistake, and I'm late that it just, you know, it compounds and I guess I would tell myself, it's gonna be okay. You just have to get through this day. "
id,"Alright, so when you do that, in essence, you are applying self talk. Okay. All right. So that's, that's really the same thing except you probably didn't have a label for it. And when you apply that it seems to work. So the message you're kind of sending yourself now you're telling yourself is I'm going to make a mistake still. But if I'm late for work, I'll be worse. So there's a little bit of positive and negative in here. Right self talk doesn't have to be all positive self talk needs to be, I think when anything realistic and sometimes realistic includes a little negativity. I'd rather focus on the more positive elements as we build this as possible though, so that's pretty good self talk you have now let's work on refining it a little bit to maximize its benefit."
